[2024-03-13 20:44:54]|||{"logger":"c.c.blog.web.CodingBlogApplication", "thread":"restartedMain", "msg":"Starting CodingBlogApplication using Java 1.8.0_101 on DESKTOP-4C76UQ5 with PID 10764 (D:\JavaCount\project\codingblog\coding-blog-service\coding-web\target\classes started by Administrator in D:\JavaCount\project\codingblog\coding-blog-service)"}
[2024-03-13 20:44:55]|||{"logger":"c.c.blog.web.CodingBlogApplication", "thread":"restartedMain", "msg":"No active profile set, falling back to 1 default profile: "default""}
[2024-03-13 20:44:55]|||{"logger":"o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor", "thread":"restartedMain", "msg":"Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable"}
[2024-03-13 20:44:55]|||{"logger":"o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor", "thread":"restartedMain", "msg":"For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'"}
[2024-03-13 20:44:55]|||{"logger":"o.s.d.r.c.RepositoryConfigurationDelegate", "thread":"restartedMain", "msg":"Multiple Spring Data modules found, entering strict repository configuration mode"}
[2024-03-13 20:44:55]|||{"logger":"o.s.d.r.c.RepositoryConfigurationDelegate", "thread":"restartedMain", "msg":"Bootstrapping Spring Data Redis repositories in DEFAULT mode."}
[2024-03-13 20:44:56]|||{"logger":"o.s.d.r.c.RepositoryConfigurationDelegate", "thread":"restartedMain", "msg":"Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces."}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'adminRoleRelationMapper' and 'com.coding.blog.service.mapper.AdminRoleRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'commentsMapper' and 'com.coding.blog.service.mapper.CommentsMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'linksMapper' and 'com.coding.blog.service.mapper.LinksMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'menuMapper' and 'com.coding.blog.service.mapper.MenuMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'pictureMapper' and 'com.coding.blog.service.mapper.PictureMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'postTagMapper' and 'com.coding.blog.service.mapper.PostTagMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'postTagRelationMapper' and 'com.coding.blog.service.mapper.PostTagRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'postsMapper' and 'com.coding.blog.service.mapper.PostsMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'resourceCategoryMapper' and 'com.coding.blog.service.mapper.ResourceCategoryMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'resourceMapper' and 'com.coding.blog.service.mapper.ResourceMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'roleMapper' and 'com.coding.blog.service.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'roleMenuRelationMapper' and 'com.coding.blog.service.mapper.RoleMenuRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'roleResourceRelationMapper' and 'com.coding.blog.service.mapper.RoleResourceRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'siteMapper' and 'com.coding.blog.service.mapper.SiteMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'termRelationshipsMapper' and 'com.coding.blog.service.mapper.TermRelationshipsMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'termTaxonomyMapper' and 'com.coding.blog.service.mapper.TermTaxonomyMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 20:44:56]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'usersMapper' and 'com.coding.blog.service.mapper.UsersMapper' mapperInterface. Bean already defined with the same name!"}
